,city,latitude,longitude,temperature,humidity,cloudiness,wind,description,country
0,bredasdorp,-34.53,20.04,60.8,87,0,11.41,clear sky,ZA
1,bhitarwar,25.8,78.12,84.2,83,40,4.7,scattered clouds,IN
2,baculin,7.45,126.58,79.43,74,92,4.21,overcast clouds,PH
3,esil,51.96,66.4,50.14,64,6,5.79,clear sky,KZ
4,saint-philippe,-21.36,55.77,69.8,94,90,16.11,mist,RE
5,arraial do cabo,-22.97,-42.03,80.6,69,20,10.29,few clouds,BR
6,tiksi,71.69,128.87,41.9,82,39,9.13,scattered clouds,RU
7,thompson,55.74,-97.86,41.0,75,90,14.99,overcast clouds,CA
8,klaksvik,62.23,-6.59,51.8,93,17,18.34,drizzle,FO
9,shubarshi,48.59,57.19,64.13,30,3,8.1,clear sky,KZ
10,makakilo city,21.35,-158.09,78.8,83,90,5.82,overcast clouds,US
11,dubbo,-32.25,148.62,53.6,81,3,11.41,clear sky,AU
12,hobart,-42.88,147.33,60.01,58,100,3.36,overcast clouds,AU
13,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
14,kaitangata,-46.28,169.85,39.99,90,11,6.06,few clouds,NZ
15,puerto ayora,-0.74,-90.35,77.0,61,40,13.87,scattered clouds,EC
16,college,64.86,-147.8,53.6,71,75,3.36,broken clouds,US
17,new norfolk,-42.78,147.06,60.01,58,100,3.36,overcast clouds,AU
18,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
19,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
20,cidreira,-30.18,-50.21,57.69,93,100,13.42,moderate rain,BR
21,hithadhoo,-0.6,73.08,82.9,76,90,12.64,overcast clouds,MV
22,pout,14.77,-17.06,78.8,88,75,14.99,broken clouds,SN
23,beruwala,6.48,79.98,80.11,87,98,7.81,overcast clouds,LK
24,pringsewu,-5.36,104.97,72.95,93,9,0.74,clear sky,ID
25,pisco,-13.7,-76.22,64.99,72,41,9.17,scattered clouds,PE
26,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
27,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
28,cabo san lucas,22.89,-109.91,84.2,66,40,10.29,scattered clouds,MX
29,butaritari,3.07,172.79,82.89,73,42,7.72,scattered clouds,KI
30,naze,28.37,129.48,75.2,100,40,3.36,scattered clouds,JP
31,hithadhoo,-0.6,73.08,82.9,76,90,12.64,overcast clouds,MV
32,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
33,koscierzyna,54.12,17.98,55.4,76,9,6.93,clear sky,PL
34,jamestown,42.1,-79.24,66.99,88,20,19.46,few clouds,US
35,avarua,-21.21,-159.78,73.4,60,17,3.36,few clouds,CK
36,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
37,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
38,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
39,kargasok,59.06,80.86,41.43,93,25,3.76,scattered clouds,RU
40,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
41,mackay,-21.15,149.2,66.2,88,75,10.29,broken clouds,AU
42,qaanaaq,77.48,-69.36,23.85,81,13,7.63,few clouds,GL
43,shimoda,34.67,138.95,73.0,94,44,1.01,light rain,JP
44,laguna,38.42,-121.42,93.99,31,1,6.35,haze,US
45,san patricio,19.22,-104.7,86.0,74,75,11.41,broken clouds,MX
46,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
47,goderich,43.75,-81.72,73.0,78,75,13.76,broken clouds,CA
48,edd,13.93,41.69,93.56,49,0,6.17,clear sky,ER
49,nanortalik,60.14,-45.24,43.36,75,44,20.22,scattered clouds,GL
50,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
51,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
52,tuktoyaktuk,69.45,-133.04,46.4,75,90,12.75,overcast clouds,CA
53,carnarvon,-24.87,113.63,64.4,93,75,12.75,broken clouds,AU
54,clyde river,70.47,-68.59,37.4,86,90,10.29,overcast clouds,CA
55,norman wells,65.28,-126.83,51.8,57,90,12.75,overcast clouds,CA
56,jurm,36.86,70.83,58.19,34,0,1.57,clear sky,AF
57,cabo san lucas,22.89,-109.91,84.2,66,40,10.29,scattered clouds,MX
58,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
59,bukama,-9.2,25.85,79.9,22,6,1.66,clear sky,CD
60,vieux-habitants,16.06,-61.77,87.8,70,75,11.41,broken clouds,GP
61,boralday,43.36,76.86,51.8,62,15,4.47,few clouds,KZ
62,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
63,basco,20.45,121.97,83.61,71,65,6.96,broken clouds,PH
64,lebu,-37.62,-73.65,53.6,71,78,8.46,broken clouds,CL
65,kaifeng,34.79,114.35,69.8,77,51,2.24,broken clouds,CN
66,torbay,47.67,-52.73,66.99,52,20,3.36,few clouds,CA
67,hofn,64.25,-15.21,55.4,50,20,21.92,few clouds,IS
68,fortuna,40.6,-124.16,86.0,44,1,4.7,clear sky,US
69,bella union,-30.28,-57.6,61.56,77,98,9.78,overcast clouds,UY
70,tasiilaq,65.61,-37.64,35.6,100,7,3.36,clear sky,GL
71,necochea,-38.55,-58.74,61.0,33,0,8.01,clear sky,AR
72,constitucion,-35.33,-72.42,56.64,66,66,7.7,broken clouds,CL
73,saint-philippe,-21.36,55.77,69.8,94,90,16.11,mist,RE
74,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
75,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
76,andenes,69.31,16.12,53.6,76,97,9.17,overcast clouds,NO
77,tyukhtet,56.54,89.3,42.3,92,16,3.56,few clouds,RU
78,ca mau,9.18,105.15,79.99,83,99,4.38,overcast clouds,VN
79,tulsipur,28.13,82.3,88.0,71,54,3.0,broken clouds,NP
80,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
81,new norfolk,-42.78,147.06,60.01,58,100,3.36,overcast clouds,AU
82,alice springs,-23.7,133.88,62.6,21,0,4.7,clear sky,AU
83,hithadhoo,-0.6,73.08,82.9,76,90,12.64,overcast clouds,MV
84,kautokeino,69.01,23.04,47.64,75,22,10.85,few clouds,NO
85,nome,64.5,-165.41,48.2,93,90,12.75,light rain,US
86,alofi,-19.06,-169.92,69.8,77,75,18.34,broken clouds,NU
87,puerto ayora,-0.74,-90.35,77.0,61,40,13.87,scattered clouds,EC
88,port lincoln,-34.73,135.87,58.73,75,95,13.73,overcast clouds,AU
89,lompoc,34.64,-120.46,78.8,54,1,11.41,clear sky,US
90,margate,51.38,1.39,64.99,65,100,1.99,overcast clouds,GB
91,mayo,38.89,-76.51,82.0,69,1,11.41,clear sky,US
92,airai,-8.93,125.41,56.57,55,64,3.27,broken clouds,TL
93,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
94,sao filipe,14.9,-24.5,79.5,81,76,10.56,light rain,CV
95,dubai,25.26,55.3,93.2,75,0,6.93,clear sky,AE
96,timberlake,37.32,-79.26,84.99,48,1,3.36,clear sky,US
97,havre-saint-pierre,50.23,-63.6,66.2,52,1,11.41,clear sky,CA
98,faanui,-16.48,-151.75,77.79,81,2,14.83,clear sky,PF
99,westport,41.14,-73.36,80.6,54,1,9.17,clear sky,US
100,batagay,67.63,134.63,39.25,92,77,3.31,broken clouds,RU
101,lianzhou,24.78,112.38,75.15,88,99,0.89,overcast clouds,CN
102,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
103,cleveland,41.5,-81.7,66.2,88,40,16.11,scattered clouds,US
104,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
105,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
106,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
107,arlit,18.74,7.39,86.56,40,15,30.8,light rain,NE
108,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
109,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
110,pisco,-13.7,-76.22,64.99,72,41,9.17,scattered clouds,PE
111,kahului,20.89,-156.47,82.4,61,20,11.41,few clouds,US
112,namatanai,-3.67,152.43,79.18,79,7,5.79,clear sky,PG
113,fortuna,40.6,-124.16,86.0,44,1,4.7,clear sky,US
114,castro,-24.79,-50.01,80.65,40,19,9.22,few clouds,BR
115,lagoa,39.05,-27.98,70.07,78,46,20.65,scattered clouds,PT
116,florianopolis,-27.61,-48.5,69.01,100,75,9.17,moderate rain,BR
117,vila velha,-20.33,-40.29,81.0,69,0,19.46,clear sky,BR
118,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
119,lebu,-37.62,-73.65,53.6,71,78,8.46,broken clouds,CL
120,bredasdorp,-34.53,20.04,60.8,87,0,11.41,clear sky,ZA
121,port alfred,-33.59,26.89,62.04,89,8,7.67,clear sky,ZA
122,esperance,-33.87,121.9,44.6,100,11,6.93,few clouds,AU
123,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
124,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
125,tuktoyaktuk,69.45,-133.04,46.4,75,90,12.75,overcast clouds,CA
126,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
127,los llanos de aridane,28.66,-17.92,77.0,83,20,11.41,few clouds,ES
128,leisure city,25.5,-80.43,84.2,78,90,6.93,overcast clouds,US
129,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
130,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
131,bluff,-46.6,168.33,44.26,84,41,10.78,scattered clouds,NZ
132,oistins,13.07,-59.53,87.8,70,40,12.75,scattered clouds,BB
133,yurgamysh,55.37,64.47,46.36,84,3,3.02,clear sky,RU
134,vila,42.03,-8.16,78.01,35,27,4.18,scattered clouds,PT
135,andros,37.83,24.93,81.0,39,0,5.99,clear sky,GR
136,cherskiy,68.75,161.3,36.64,82,46,8.57,scattered clouds,RU
137,mao,39.89,4.27,66.2,72,20,9.17,few clouds,ES
138,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
139,longyearbyen,78.22,15.64,39.2,87,40,10.29,scattered clouds,SJ
140,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
141,bredasdorp,-34.53,20.04,60.8,87,0,11.41,clear sky,ZA
142,cayenne,4.93,-52.33,89.6,66,27,12.75,light rain,GF
143,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
144,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
145,honiara,-9.43,159.95,73.4,94,20,2.24,few clouds,SB
146,hilo,19.73,-155.09,80.6,74,20,3.42,few clouds,US
147,faanui,-16.48,-151.75,77.79,81,2,14.83,clear sky,PF
148,bartica,6.4,-58.62,77.0,94,75,16.11,thunderstorm,GY
149,thompson,55.74,-97.86,41.0,75,90,14.99,overcast clouds,CA
150,hithadhoo,-0.6,73.08,82.9,76,90,12.64,overcast clouds,MV
151,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
152,ornskoldsvik,63.29,18.72,53.6,81,46,6.93,scattered clouds,SE
153,faanui,-16.48,-151.75,77.79,81,2,14.83,clear sky,PF
154,bethel,41.37,-73.41,78.01,53,1,14.99,clear sky,US
155,nikolskoye,59.7,30.79,55.4,82,75,4.47,broken clouds,RU
156,saskylakh,71.92,114.08,42.39,72,0,8.16,clear sky,RU
157,avarua,-21.21,-159.78,73.4,60,17,3.36,few clouds,CK
158,san cristobal,7.77,-72.22,89.6,59,40,12.75,scattered clouds,VE
159,mayumba,-3.43,10.66,75.09,83,54,6.76,broken clouds,GA
160,katsuura,35.13,140.3,82.99,88,40,18.34,scattered clouds,JP
161,jamestown,42.1,-79.24,66.99,88,20,19.46,few clouds,US
162,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
163,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
164,avarua,-21.21,-159.78,73.4,60,17,3.36,few clouds,CK
165,whitehorse,60.72,-135.05,55.4,54,75,16.11,broken clouds,CA
166,nurota,40.56,65.69,66.2,29,0,9.17,clear sky,UZ
167,jamestown,42.1,-79.24,66.99,88,20,19.46,few clouds,US
168,laramie,41.31,-105.59,78.8,4,1,25.28,clear sky,US
169,butaritari,3.07,172.79,82.89,73,42,7.72,scattered clouds,KI
170,zhigansk,66.77,123.37,40.71,89,0,12.39,clear sky,RU
171,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
172,namibe,-15.2,12.15,68.25,89,37,4.07,scattered clouds,AO
173,new norfolk,-42.78,147.06,60.01,58,100,3.36,overcast clouds,AU
174,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
175,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
176,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
177,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
178,lavrentiya,65.58,-171.0,41.88,78,100,16.37,overcast clouds,RU
179,drummondville,45.88,-72.48,75.0,60,75,21.92,broken clouds,CA
180,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
181,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
182,beinamar,8.67,15.38,71.51,95,29,2.82,scattered clouds,TD
183,yellowknife,62.46,-114.35,51.01,46,75,10.29,broken clouds,CA
184,tuktoyaktuk,69.45,-133.04,46.4,75,90,12.75,overcast clouds,CA
185,yellowknife,62.46,-114.35,51.01,46,75,10.29,broken clouds,CA
186,arraial do cabo,-22.97,-42.03,80.6,69,20,10.29,few clouds,BR
187,otane,-39.88,176.63,33.01,88,63,1.99,broken clouds,NZ
188,obo,5.4,26.49,68.63,95,100,2.71,overcast clouds,CF
189,bergama,39.12,27.18,86.0,51,0,4.7,clear sky,TR
190,corning,42.14,-77.05,82.4,39,1,21.92,clear sky,US
191,vega de alatorre,20.03,-96.63,84.38,71,91,10.49,overcast clouds,MX
192,saskylakh,71.92,114.08,42.39,72,0,8.16,clear sky,RU
193,ust-kuyga,70.02,135.6,36.12,92,88,1.05,overcast clouds,RU
194,tiznit,29.58,-9.5,90.55,20,0,4.94,clear sky,MA
195,ilinskiy,55.62,38.12,66.0,93,100,4.03,light rain,RU
196,bluff,-46.6,168.33,44.26,84,41,10.78,scattered clouds,NZ
197,tuktoyaktuk,69.45,-133.04,46.4,75,90,12.75,overcast clouds,CA
198,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
199,puerto ayora,-0.74,-90.35,77.0,61,40,13.87,scattered clouds,EC
200,narsaq,60.92,-46.05,50.0,76,40,6.93,scattered clouds,GL
201,port alfred,-33.59,26.89,62.04,89,8,7.67,clear sky,ZA
202,tiksi,71.69,128.87,41.9,82,39,9.13,scattered clouds,RU
203,cockburn town,21.46,-71.14,86.0,66,40,10.29,scattered clouds,TC
204,tiznit,29.58,-9.5,90.55,20,0,4.94,clear sky,MA
205,ostrovnoy,68.05,39.51,52.41,85,80,8.16,light rain,RU
206,hammerfest,70.66,23.68,48.2,87,40,11.41,scattered clouds,NO
207,hasaki,35.73,140.83,80.6,94,20,5.82,few clouds,JP
208,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
209,gurgaon,28.47,77.03,88.0,88,40,4.7,mist,IN
210,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
211,cockburn town,21.46,-71.14,86.0,66,40,10.29,scattered clouds,TC
212,cidreira,-30.18,-50.21,57.69,93,100,13.42,moderate rain,BR
213,ribeira grande,38.52,-28.7,71.6,73,40,17.22,scattered clouds,PT
214,saldanha,-33.01,17.94,62.6,63,0,5.82,clear sky,ZA
215,itinga,-16.61,-41.77,93.79,22,38,7.72,scattered clouds,BR
216,mar del plata,-38.0,-57.56,55.4,71,0,10.29,clear sky,AR
217,sheregesh,52.92,87.99,42.21,94,63,1.97,broken clouds,RU
218,port moresby,-9.44,147.18,78.8,88,90,17.22,overcast clouds,PG
219,airai,-8.93,125.41,56.57,55,64,3.27,broken clouds,TL
220,nikolskoye,59.7,30.79,55.4,82,75,4.47,broken clouds,RU
221,rikitea,-23.12,-134.97,73.18,83,2,11.9,clear sky,PF
222,kavieng,-2.57,150.8,82.58,75,4,13.0,clear sky,PG
223,kavieng,-2.57,150.8,82.58,75,4,13.0,clear sky,PG
224,te anau,-45.42,167.72,38.21,87,36,2.71,scattered clouds,NZ
225,lebu,-37.62,-73.65,53.6,71,78,8.46,broken clouds,CL
226,barrow,71.29,-156.79,35.6,93,90,19.46,mist,US
227,ericeira,38.96,-9.42,87.8,29,1,14.99,clear sky,PT
228,cherskiy,68.75,161.3,36.64,82,46,8.57,scattered clouds,RU
229,bluff,-46.6,168.33,44.26,84,41,10.78,scattered clouds,NZ
230,mae ramat,16.98,98.52,75.16,93,100,1.01,overcast clouds,TH
231,erzin,36.96,36.2,84.0,81,0,1.61,clear sky,TR
232,turukhansk,65.82,87.98,49.26,68,100,3.62,overcast clouds,RU
233,bluff,-46.6,168.33,44.26,84,41,10.78,scattered clouds,NZ
234,namibe,-15.2,12.15,68.25,89,37,4.07,scattered clouds,AO
235,beruwala,6.48,79.98,80.11,87,98,7.81,overcast clouds,LK
236,georgetown,5.41,100.34,80.6,94,20,2.24,few clouds,MY
237,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
238,luderitz,-26.65,15.16,65.17,57,0,4.76,clear sky,NA
239,lebu,-37.62,-73.65,53.6,71,78,8.46,broken clouds,CL
240,longyearbyen,78.22,15.64,39.2,87,40,10.29,scattered clouds,SJ
241,ogulin,45.27,15.23,73.4,53,86,12.75,overcast clouds,HR
242,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
243,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
244,carnwath,55.7,-3.63,61.0,93,100,1.01,overcast clouds,GB
245,jamestown,42.1,-79.24,66.99,88,20,19.46,few clouds,US
246,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
247,arauco,-37.25,-73.32,55.4,66,75,6.93,broken clouds,CL
248,tiksi,71.69,128.87,41.9,82,39,9.13,scattered clouds,RU
249,saskylakh,71.92,114.08,42.39,72,0,8.16,clear sky,RU
250,tiksi,71.69,128.87,41.9,82,39,9.13,scattered clouds,RU
251,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
252,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
253,port alfred,-33.59,26.89,62.04,89,8,7.67,clear sky,ZA
254,bethel,41.37,-73.41,78.01,53,1,14.99,clear sky,US
255,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
256,port alfred,-33.59,26.89,62.04,89,8,7.67,clear sky,ZA
257,georgetown,5.41,100.34,80.6,94,20,2.24,few clouds,MY
258,karlstad,59.38,13.5,57.99,67,71,14.99,broken clouds,SE
259,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
260,atuona,-9.8,-139.03,78.87,72,11,23.0,few clouds,PF
261,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
262,namibe,-15.2,12.15,68.25,89,37,4.07,scattered clouds,AO
263,camacha,33.08,-16.33,75.2,73,20,9.17,few clouds,PT
264,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
265,souillac,-20.52,57.52,71.6,94,75,8.05,shower rain,MU
266,kasongo-lunda,-6.47,16.82,82.58,49,49,1.05,scattered clouds,CD
267,luis correia,-2.88,-41.67,85.73,54,19,13.96,few clouds,BR
268,hemsedal,60.86,8.55,45.0,84,99,1.99,light rain,NO
269,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
270,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
271,port alfred,-33.59,26.89,62.04,89,8,7.67,clear sky,ZA
272,camapua,-19.53,-54.04,103.21,10,26,7.58,scattered clouds,BR
273,bredasdorp,-34.53,20.04,60.8,87,0,11.41,clear sky,ZA
274,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
275,torbay,47.67,-52.73,66.99,52,20,3.36,few clouds,CA
276,hermanus,-34.42,19.23,59.63,86,0,11.92,clear sky,ZA
277,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
278,saint-pierre,-21.34,55.48,69.8,94,90,16.11,mist,RE
279,saskylakh,71.92,114.08,42.39,72,0,8.16,clear sky,RU
280,constitucion,-35.33,-72.42,56.64,66,66,7.7,broken clouds,CL
281,padre bernardo,-15.35,-48.5,96.22,16,45,7.14,scattered clouds,BR
282,georgetown,5.41,100.34,80.6,94,20,2.24,few clouds,MY
283,saint-philippe,-21.36,55.77,69.8,94,90,16.11,mist,RE
284,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
285,talnakh,69.49,88.4,46.4,100,90,6.71,fog,RU
286,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
287,sambava,-14.27,50.17,71.58,80,0,15.93,clear sky,MG
288,punta arenas,-53.15,-70.92,44.6,75,100,8.05,overcast clouds,CL
289,qasigiannguit,68.82,-51.19,39.2,69,75,6.93,shower rain,GL
290,chuy,-33.7,-53.46,57.87,67,32,9.44,scattered clouds,UY
291,kahului,20.89,-156.47,82.4,61,20,11.41,few clouds,US
292,avera,33.19,-82.53,86.0,48,40,9.17,scattered clouds,US
293,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
294,jardim,-21.48,-56.14,88.25,42,99,7.65,overcast clouds,BR
295,jalu,29.03,21.55,84.31,22,0,5.99,clear sky,LY
296,mataura,-46.19,168.86,36.77,92,38,2.77,scattered clouds,NZ
297,port elizabeth,-33.92,25.57,59.0,100,20,3.36,few clouds,ZA
298,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
299,vaini,-21.2,-175.2,68.0,88,75,6.93,broken clouds,TO
300,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
301,lavrentiya,65.58,-171.0,41.88,78,100,16.37,overcast clouds,RU
302,saint george,37.1,-113.58,93.0,10,1,2.44,clear sky,US
303,singaraja,-8.11,115.09,77.94,75,22,5.03,few clouds,ID
304,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
305,petrozavodsk,61.78,34.35,51.8,93,76,2.24,broken clouds,RU
306,bluff,-46.6,168.33,44.26,84,41,10.78,scattered clouds,NZ
307,port elizabeth,-33.92,25.57,59.0,100,20,3.36,few clouds,ZA
308,airai,-8.93,125.41,56.57,55,64,3.27,broken clouds,TL
309,los llanos de aridane,28.66,-17.92,77.0,83,20,11.41,few clouds,ES
310,atar,20.52,-13.05,102.13,20,52,11.3,broken clouds,MR
311,albany,42.6,-73.97,78.01,46,36,5.01,scattered clouds,US
312,upernavik,72.79,-56.15,37.36,83,98,11.92,overcast clouds,GL
313,hobart,-42.88,147.33,60.01,58,100,3.36,overcast clouds,AU
314,north bend,43.41,-124.22,61.0,77,20,10.29,few clouds,US
315,flinders,-34.58,150.86,57.99,83,4,1.01,clear sky,AU
316,kapaa,22.08,-159.32,82.4,74,40,10.29,scattered clouds,US
317,hobart,-42.88,147.33,60.01,58,100,3.36,overcast clouds,AU
318,lichinga,-13.31,35.24,64.0,55,0,5.82,smoke,MZ
319,ushuaia,-54.8,-68.3,48.2,69,75,9.17,broken clouds,AR
320,kodiak,57.79,-152.41,53.6,66,1,13.24,clear sky,US
321,severo-kurilsk,50.68,156.12,52.77,89,28,11.34,scattered clouds,RU
322,butaritari,3.07,172.79,82.89,73,42,7.72,scattered clouds,KI
323,faanui,-16.48,-151.75,77.79,81,2,14.83,clear sky,PF
324,cape town,-33.93,18.42,63.0,87,0,3.36,clear sky,ZA
325,sistranda,63.73,8.83,51.8,93,75,18.34,light rain,NO
326,matara,5.95,80.54,79.03,89,97,8.61,overcast clouds,LK
327,banda aceh,5.56,95.32,80.47,79,99,8.03,overcast clouds,ID
328,fez,34.04,-5.0,93.2,28,20,12.75,few clouds,MA
329,east london,-33.02,27.91,59.0,100,20,3.36,few clouds,ZA
330,khatanga,71.97,102.5,43.48,76,4,7.85,clear sky,RU
331,tasiilaq,65.61,-37.64,35.6,100,7,3.36,clear sky,GL
332,pacific grove,36.62,-121.92,96.01,57,1,3.36,haze,US
333,busselton,-33.65,115.33,48.99,78,2,10.94,clear sky,AU
