city,country,temperature,description,latitude,longitude,Hotel Name
bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
bhitarwar,IN,84.2,scattered clouds,25.8,78.12,MPEB bhitarwar
baculin,PH,79.43,overcast clouds,7.45,126.58,Shovy's Cove
esil,KZ,50.14,clear sky,51.96,66.4,Egorkino Hotel
saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
klaksvik,FO,51.8,drizzle,62.23,-6.59,Airbnb rooms
shubarshi,KZ,64.13,clear sky,48.59,57.19,
makakilo city,US,78.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
dubbo,AU,53.6,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
college,US,53.6,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
cidreira,BR,57.69,moderate rain,-30.18,-50.21,Hotel Castelo
hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
pout,SN,78.8,broken clouds,14.77,-17.06,chez sada niang
beruwala,LK,80.11,overcast clouds,6.48,79.98,The Palms Hotel
pringsewu,ID,72.95,clear sky,-5.36,104.97,Urban Style by Front One
pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
cabo san lucas,MX,84.2,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
naze,JP,75.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
koscierzyna,PL,55.4,clear sky,54.12,17.98,Bazuny Hotel & SPA Kaszuby
jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
mackay,AU,66.2,broken clouds,-21.15,149.2,International Lodge Motel
shimoda,JP,73.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
laguna,US,93.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
san patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
goderich,CA,73.0,broken clouds,43.75,-81.72,Harmony Inn
edd,ER,93.56,clear sky,13.93,41.69,
cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
carnarvon,AU,64.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
norman wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
jurm,AF,58.19,clear sky,36.86,70.83,
cabo san lucas,MX,84.2,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
bukama,CD,79.9,clear sky,-9.2,25.85,
vieux-habitants,GP,87.8,broken clouds,16.06,-61.77,Gîtes Dardanelle
boralday,KZ,51.8,few clouds,43.36,76.86,Burunday Oteli
atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
basco,PH,83.61,broken clouds,20.45,121.97,Nathaniel's Lodge
lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
kaifeng,CN,69.8,broken clouds,34.79,114.35,Pullman Kaifeng Jianye
torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
hofn,IS,55.4,few clouds,64.25,-15.21,Hótel Höfn
fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
bella union,UY,61.56,overcast clouds,-30.28,-57.6,Hotel Oriente
necochea,AR,61.0,clear sky,-38.55,-58.74,dyd -mar Hotel
constitucion,CL,56.64,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
andenes,NO,53.6,overcast clouds,69.31,16.12,Hotell Marena
ca mau,VN,79.99,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
tulsipur,NP,88.0,broken clouds,28.13,82.3,Ekanta Hotel Pvt. Ltd
atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
alice springs,AU,62.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
alofi,NU,69.8,broken clouds,-19.06,-169.92,Taloa Heights
puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
port lincoln,AU,58.73,overcast clouds,-34.73,135.87,Port Lincoln Hotel
lompoc,US,78.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
margate,GB,64.99,overcast clouds,51.38,1.39,Premier Inn Margate hotel
mayo,US,82.0,clear sky,38.89,-76.51,Resorts Resource Group International
airai,TL,56.57,broken clouds,-8.93,125.41,Juvinal Martin
hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
sao filipe,CV,79.5,light rain,14.9,-24.5,Tortuga B&B
dubai,AE,93.2,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
timberlake,US,84.99,clear sky,37.32,-79.26,Timberlake Motel
havre-saint-pierre,CA,66.2,clear sky,50.23,-63.6,Auberge Niapiskau
faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
westport,US,80.6,clear sky,41.14,-73.36,The Westport Inn
lianzhou,CN,75.15,overcast clouds,24.78,112.38,Qingcheng Tourism Industry
cleveland,US,66.2,scattered clouds,41.5,-81.7,Cleveland Marriott Downtown at Key Tower
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
albany,US,78.01,scattered clouds,42.6,-73.97,
arlit,NE,86.56,light rain,18.74,7.39,Hôtel Telwa Bungalow
albany,US,78.01,scattered clouds,42.6,-73.97,
pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
namatanai,PG,79.18,clear sky,-3.67,152.43,Namatanai Hotel
fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
lagoa,PT,70.07,scattered clouds,39.05,-27.98,Casa Das Faias
florianopolis,BR,69.01,moderate rain,-27.61,-48.5,Hotel Boutique Quinta das Videiras
vila velha,BR,81.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
los llanos de aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
leisure city,US,84.2,overcast clouds,25.5,-80.43,Hampton Inn & Suites Miami-South/Homestead
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
vila,PT,78.01,scattered clouds,42.03,-8.16,Hotel Castrum Villae
andros,GR,81.0,clear sky,37.83,24.93,Micra Anglia Hotel - Andros
mao,ES,66.2,few clouds,39.89,4.27,ARTIEM Capri
vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
