City_ID,city,country,temperature,description,latitude,longitude,Hotel Name
0,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
1,bhitarwar,IN,84.2,scattered clouds,25.8,78.12,MPEB bhitarwar
2,baculin,PH,79.43,overcast clouds,7.45,126.58,Shovy's Cove
3,esil,KZ,50.14,clear sky,51.96,66.4,Egorkino Hotel
4,saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
5,arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
8,klaksvik,FO,51.8,drizzle,62.23,-6.59,Airbnb rooms
9,shubarshi,KZ,64.13,clear sky,48.59,57.19,
10,makakilo city,US,78.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
11,dubbo,AU,53.6,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
12,hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
15,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
16,college,US,53.6,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
17,new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
20,cidreira,BR,57.69,moderate rain,-30.18,-50.21,Hotel Castelo
21,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
22,pout,SN,78.8,broken clouds,14.77,-17.06,chez sada niang
23,beruwala,LK,80.11,overcast clouds,6.48,79.98,The Palms Hotel
24,pringsewu,ID,72.95,clear sky,-5.36,104.97,Urban Style by Front One
25,pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
28,cabo san lucas,MX,84.2,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
29,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
30,naze,JP,75.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
31,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
33,koscierzyna,PL,55.4,clear sky,54.12,17.98,Bazuny Hotel & SPA Kaszuby
34,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
35,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
36,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
38,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
40,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
41,mackay,AU,66.2,broken clouds,-21.15,149.2,International Lodge Motel
43,shimoda,JP,73.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
44,laguna,US,93.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
45,san patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
47,goderich,CA,73.0,broken clouds,43.75,-81.72,Harmony Inn
48,edd,ER,93.56,clear sky,13.93,41.69,
51,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
53,carnarvon,AU,64.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
55,norman wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
56,jurm,AF,58.19,clear sky,36.86,70.83,
