,city,latitude,longitude,temperature,humidity,cloudiness,wind,description,country
0,hithadhoo,-0.6,73.08,81.82,80,90,14.12,overcast clouds,MV
1,richards bay,-28.78,32.04,63.48,85,40,2.55,scattered clouds,ZA
2,constitucion,-35.33,-72.42,58.84,61,0,7.0,clear sky,CL
3,coihaique,-45.58,-72.07,48.2,49,52,6.93,broken clouds,CL
4,allanridge,-27.75,26.64,59.2,30,1,2.71,clear sky,ZA
5,yulara,-25.24,130.99,62.6,18,0,2.24,clear sky,AU
6,east london,-33.02,27.91,64.6,74,88,12.91,overcast clouds,ZA
7,punta arenas,-53.15,-70.92,44.6,33,0,32.21,clear sky,CL
8,cidreira,-30.18,-50.21,57.38,72,100,14.83,overcast clouds,BR
9,glendive,47.11,-104.71,77.0,44,1,11.41,clear sky,US
10,rikitea,-23.12,-134.97,73.06,80,85,18.66,light rain,PF
11,yamada,39.47,141.95,69.24,68,100,4.27,overcast clouds,JP
12,longyearbyen,78.22,15.64,35.6,100,75,4.7,light intensity drizzle,SJ
13,hermanus,-34.42,19.23,55.0,88,100,9.1,overcast clouds,ZA
14,ushuaia,-54.8,-68.3,33.55,90,77,14.76,broken clouds,AR
15,ponta do sol,32.67,-17.1,71.6,73,40,4.7,scattered clouds,PT
16,hobart,-42.88,147.33,61.0,87,75,5.82,broken clouds,AU
17,alofi,-19.06,-169.92,77.0,94,84,5.82,broken clouds,NU
18,rong kwang,18.34,100.32,74.91,93,100,1.72,light rain,TH
19,tasiilaq,65.61,-37.64,37.4,47,35,11.41,scattered clouds,GL
20,manta,-0.95,-80.73,77.0,78,75,13.87,broken clouds,EC
21,pevek,69.7,170.31,36.16,97,100,13.29,light rain,RU
22,albany,42.6,-73.97,54.0,55,0,1.81,clear sky,US
23,padang,-0.95,100.35,77.94,73,95,3.91,overcast clouds,ID
24,jibuti,11.5,42.5,87.8,84,20,7.38,few clouds,DJ
25,cabo san lucas,22.89,-109.91,88.0,70,40,5.82,scattered clouds,MX
