City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Batagay-Alyta,67.8,130.41,53.22,41,0,2.75,RU,2020-08-27 04:34:00
1,Busselton,-33.65,115.33,68.0,48,8,4.81,AU,2020-08-27 04:33:02
2,Mar Del Plata,-38.0,-57.56,52.0,87,75,12.75,AR,2020-08-27 04:29:11
3,Ouadda,8.08,22.4,67.05,94,34,1.99,CF,2020-08-27 04:38:18
4,Saint-Philippe,-21.36,55.77,73.99,53,18,5.82,RE,2020-08-27 04:33:03
5,San Vicente,-26.62,-54.13,61.36,62,0,3.83,AR,2020-08-27 04:38:19
6,Ahuimanu,21.44,-157.84,84.2,69,40,8.05,US,2020-08-27 04:38:19
7,Ushuaia,-54.8,-68.3,35.6,69,75,5.82,AR,2020-08-27 04:32:48
8,Nikolskoye,59.7,30.79,54.0,87,91,2.24,RU,2020-08-27 04:32:55
9,Gamba,-2.65,10.0,74.64,88,100,6.42,GA,2020-08-27 04:38:19
10,Tukrah,32.53,20.58,78.1,72,28,10.04,LY,2020-08-27 04:38:20
11,Punta Arenas,-53.15,-70.92,37.4,89,18,20.8,CL,2020-08-27 04:32:42
12,Dikson,73.51,80.55,44.58,96,88,3.0,RU,2020-08-27 04:33:03
13,Stupari,44.31,18.68,55.4,100,45,1.12,BA,2020-08-27 04:36:02
14,Lasa,46.62,10.7,57.99,81,5,4.7,IT,2020-08-27 04:34:28
15,Kruisfontein,-34.0,24.73,55.99,75,12,4.0,ZA,2020-08-27 04:33:56
16,Cherskiy,68.75,161.3,40.26,87,100,9.62,RU,2020-08-27 04:33:11
17,Avarua,-21.21,-159.78,75.2,73,49,3.36,CK,2020-08-27 04:30:14
18,Sibolga,1.74,98.78,86.29,61,88,5.97,ID,2020-08-27 04:38:22
19,Hobart,-42.88,147.33,60.8,41,75,19.46,AU,2020-08-27 04:29:06
20,Longyearbyen,78.22,15.64,37.4,83,75,12.75,SJ,2020-08-27 04:32:50
21,Cockburn Town,21.46,-71.14,83.28,81,22,17.85,TC,2020-08-27 04:34:08
22,Acurenam,1.03,10.65,67.41,98,100,2.48,GQ,2020-08-27 04:38:22
23,Nyurba,63.28,118.33,65.98,31,0,1.14,RU,2020-08-27 04:33:16
24,Rikitea,-23.12,-134.97,68.5,56,1,3.0,PF,2020-08-27 04:32:48
25,East London,-33.02,27.91,55.4,93,75,8.05,ZA,2020-08-27 04:33:11
26,Ribeira Grande,38.52,-28.7,73.62,91,58,5.12,PT,2020-08-27 04:32:43
27,Puerto Ayora,-0.74,-90.35,66.0,92,82,4.0,EC,2020-08-27 04:33:06
28,Port Alfred,-33.59,26.89,59.22,77,71,24.23,ZA,2020-08-27 04:33:28
29,Butaritari,3.07,172.79,82.44,68,17,4.05,KI,2020-08-27 04:32:56
30,Tlacote El Bajo,20.65,-100.5,64.4,77,40,4.7,MX,2020-08-27 04:38:24
31,Georgetown,5.41,100.34,87.01,70,40,5.82,MY,2020-08-27 04:30:00
32,Pacific Grove,36.62,-121.92,55.99,96,47,3.0,US,2020-08-27 04:38:25
33,Tiksi,71.69,128.87,45.12,63,0,8.48,RU,2020-08-27 04:33:38
34,Andra,62.51,65.89,60.46,81,35,3.53,RU,2020-08-27 04:38:25
35,Tuatapere,-46.13,167.68,45.0,72,66,11.01,NZ,2020-08-27 04:33:26
36,Hermanus,-34.42,19.23,50.45,80,0,9.01,ZA,2020-08-27 04:32:55
37,Mount Gambier,-37.83,140.77,57.2,71,90,27.51,AU,2020-08-27 04:30:51
38,Husavik,66.04,-17.34,42.8,93,75,1.5,IS,2020-08-27 04:38:26
39,Kodiak,57.79,-152.41,57.2,67,75,4.7,US,2020-08-27 04:28:44
40,Hithadhoo,-0.6,73.08,83.75,70,82,8.19,MV,2020-08-27 04:33:20
41,Vaini,-21.2,-175.2,78.8,74,75,2.24,TO,2020-08-27 04:32:58
42,Port Hawkesbury,45.62,-61.35,53.01,87,1,8.05,CA,2020-08-27 04:38:27
43,Bredasdorp,-34.53,20.04,42.8,93,37,6.93,ZA,2020-08-27 04:32:58
44,Barrow,71.29,-156.79,39.2,86,90,17.22,US,2020-08-27 04:32:44
45,Guanica,17.97,-66.91,79.0,89,1,6.38,PR,2020-08-27 04:34:20
46,Mount Isa,-20.73,139.5,86.0,9,46,10.29,AU,2020-08-27 04:38:27
47,Cape Town,-33.93,18.42,51.01,81,0,5.82,ZA,2020-08-27 04:28:43
48,Robertsport,6.75,-11.37,76.46,85,51,10.09,LR,2020-08-27 04:38:28
49,Tuy Hoa,13.08,109.3,94.71,49,98,10.8,VN,2020-08-27 04:35:00
50,Guaruja,-23.99,-46.26,64.0,100,0,3.24,BR,2020-08-27 04:38:28
51,Bathsheba,13.22,-59.52,80.6,88,75,18.34,BB,2020-08-27 04:33:47
52,Chazuta,-6.57,-76.14,73.87,64,29,0.6,PE,2020-08-27 04:38:29
